"Municipio";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"Piraí";0.00930511168891914;0.591688168994507;0.399006719316573;0.0922481773545603;0.9333;0.233145853918066;0.791821843885384;0.19672131147541;0.181303809680765;0.109081139172488;0.78341492360184;0.708;0.107514645979184;0.164936990363232;0.294472361809045;0.0457286432160804;0.0256668344237544;0.0453750855058144
"Porciúncula";0.0654448066289075;0.0834260537983707;0.851129139572722;0.174652241112828;0.8943;0.132939189189189;0.782094594594595;0.131147540983607;0.284299124481395;0.168189145620634;0.854898538075496;0.697;0.00975027975097425;0.0871843735111958;0.227987421383648;0.0489168413696716;0.0061178115714036;0.0728040540540541
"Porto Real";0.000169773046145871;0.547790645224798;0.452039581729056;0.0304490092710416;0.9416;0.395552073288332;0.994274349083896;0.524590163934426;0.128771182961915;0.139709833422891;0.902473641524736;0.713;1;0.276298169915191;0.261622056751862;0.0418595290802978;0.0264166162532769;0.0536403085824494
"Quatis";0.0269296460073466;0.452843873564025;0.520226480428628;0.142552283397354;0.9378;0.244039709215977;0.940279840537794;0.0655737704918033;0.0264590988601738;1;0.79020604763179;0.69;0.0454041585917667;0.743773859298309;0.236567164179104;0.027363184079602;0.0127182044887781;0.0522160556554366
"Queimados";0.00162333298661714;0.367743941134603;0.630632725878779;0.196337669683258;0.945;0.138378683985445;1;0.163934426229508;0.0561508909500358;0.115529285330467;0.723297999951039;0.68;0.0246293000379122;0.143949930458971;0.244778593417002;0.0192753966374615;0.00871851974697339;0.0945767675156927
"Quissamã";0.00701832564292747;0.687659499802201;0.305322174554872;0.118891537544696;0.9201;0.235895662483944;0.642031419820176;0.229508196721311;0.0965292822990293;0.181085437936593;0.940357852882704;0.704;0.590399421368154;0.354480673720579;0.289270799871507;0.0449726951493736;0.0224791265253693;0.0854658630570102
"Resende";0.00334098647808008;0.484341543070425;0.512317470451495;0.223409888146138;0.9604;0.371540214913709;0.93789711862001;0.344262295081967;0.192584990631687;0.127888232133262;0.948336489045172;0.768;0.133972861253551;0.0742637644046095;0.409280958034378;0.0815309967480514;0.134704728474086;0.020314104651454
"Rio Bonito";0.00674524716235386;0.250549773709627;0.742704979128019;0.157491463313067;0.9275;0.777141725621501;0.742722903278069;0.0491803278688525;0.189823948686255;0.53358409457281;0.593639303865702;0.71;0.0452572249791994;0.0184470184470184;0.244513011585259;0.0539092973161786;0.0358744394618834;0.0767402927040017
"Rio Claro";0.223552367893682;0.0913616707098407;0.685085961396477;0.108017282765242;0.9072;0.162467718794835;0.790186513629842;0.147540983606557;0.0583641921973437;0.0827512090274046;0.636218314683718;0.683;0.0154292753533276;0.2099080018532;0.15327136868963;0.0375432841261163;0.0200072753728629;0.0564131994261119
"Rio das Flores";0.0269175979324269;0.222376476643746;0.750702300646298;0.0359538502817279;0.9214;0.183623408480318;0.696063543978507;0.180327868852459;0.0499297461613191;0.0934981192907039;0.748333333333333;0.68;0.0881831535842194;0.0235237638022084;0.162744315915437;0.0123653769445552;0.00838323353293413;0.0696180352762528
"Rio das Ostras";0.000595538271233223;0.653566160329389;0.345838301399378;0.234634572853983;0.9648;0.264023997880313;0.945389681668496;0.295081967213115;0.112771253705598;0.0445996775926921;0.588690457767186;0.773;0.254159441037125;0.0747064212542683;0.399347650386791;0.114363237501443;0.054145272024462;0.0384003936560809
"Rio de Janeiro";0.000187885172786006;0.171255171883796;0.828556949177167;0.1663195820849;0.9718;0.326483447528861;1;0.491803278688525;1;0.199892530897367;0.937891397276332;0.799;0.0839047655085789;0.0937550972483586;0.520274972394155;0.11895147663886;0.376213425851444;0.0339376366794369
"Santa Maria Madalena";0.0897270983693685;0.225307524628929;0.684965377001702;0.0601001669449082;0.8771;0.179633756418952;0.57475050867164;0.163934426229508;0.0826149490994915;0.411606663084363;0.640726933830382;0.668;0.0195230208999866;0.226240786240786;0.138279445727483;0.0265588914549654;0.0115540150202195;0.072376707683364
"Santo Antônio de Pádua";0.0329022158444995;0.1802884884176;0.786811159358169;0.252285191956124;0.9149;0.31146369706078;0.766217448077065;0.0491803278688525;0.180018756183974;0.257388500806018;0.814113918150461;0.718;0.0234138596859746;0.162802679031427;0.229245213277149;0.0423597249944555;0.0477282817818559;0.0420803666017887
"São Francisco de Itabapoana";0.168380396223571;0.129788301349464;0.701831302426965;0.21328889814622;0.9052;0.280212023546334;0.790533521561942;0.0983606557377049;0.179480354433645;0.161740999462654;0.859745347698335;0.691;0.0107125129267805;0.0598927294398093;0.196236139309699;0.0374043417148212;0.0492622374892654;0.0864608582159124
"São Fidélis";0.102895934368791;0.130829790415963;0.766274275215246;0.24427798585102;0.8278;0.157203656236398;0.510035304928181;0.0655737704918033;0.107440083898211;0.0677055346587856;0.0517691415313225;0.639;0.0142183272809976;0.0795667569256405;0.126763684715964;0.0118933293935141;0.000889086463658591;0.1105576244136
"São Gonçalo";0.00174796604885505;0.163582846425375;0.83466918752577;0.303211263149569;0.966;0.178419530112191;0.999270801658051;0.0983606557377049;0.0580304391192702;0.124664159054272;0.68124713916346;0.739;0.0103979549831612;0.16254242081448;0.330250950196794;0.0464813552661472;0.0793354649842581;0.0538586495526783
"São João da Barra";0.00297387238316936;0.711032471368083;0.285993656248748;0.0877382722725429;0.908;0.209668061196445;0.784590954896632;0.131147540983607;0.0506904747562348;0.0682428801719506;0.429681717246484;0.671;0.586826058868012;0.0574282147315855;0.202147701582517;0.0341936699321778;0.00150531564587449;0.0752740709072587
"São João de Meriti";6.71108196107528e-05;0.0765259819317364;0.923406907248653;0.321350332196085;0.9672;0.191306224696025;1;0.0983606557377049;0.0763273513857865;0.114454594304138;0.874886212815043;0.719;0.0121615846086762;0.160088586569643;0.329738528843219;0.0327262861600027;0.0306137673787725;0.0442450285933552
"São José de Ubá";0.266909062475565;0.0824276070581489;0.65065029843355;0.151063829787234;0.8647;0.196201627873768;0.442381836355847;0.0491803278688525;0.134800705099293;0;0.802154750244858;0.652;0.00945201861731831;0.235701227474536;0.116900175131349;0.0144483362521891;0.0262582056892779;0.120805369127517
"São José do Vale do Rio Preto";0.100987006730252;0.0308893858878596;0.868123607381888;0.254040758959944;0.9085;0.291985580958965;0.444768159597057;0.0819672131147541;0.0393107674574659;0.147770016120365;0.358331532310352;0.66;0.0730208573591049;0.0545353366722315;0.202642495006914;0.0221232140113689;0.0241501307491155;0.0752061626586341
"São Pedro da Aldeia";0.0120598194984931;0.117771820299377;0.87016836020213;0.263644140290847;0.943;0.219698435277383;0.934827880512091;0.278688524590164;0.0928106817871411;0.0317033852767329;0.79366837241274;0.712;0.0109405043144575;0.0638275986216119;0.312840298561281;0.0627771968413082;0.0414518977760156;0.0718065433854908
"São Sebastião do Alto";0.165414133677979;0.243956727777512;0.590629138544509;0.061711079943899;0.8658;0.261382799325464;0.51849353569421;0.131147540983607;0.0423381115267921;0.288554540569586;0.696990424076607;0.646;0.0261659219866133;0.169360505973296;0.133575317604356;0.0148820326678766;0.0137830975698223;0.0987071388420461
